"gene","waldStat_BA","pvalue_BA","padj_BA","fcMedian_BA","waldStat_AB","pvalue_AB","padj_AB","fcMedian_AB","max_padj","mean_waldStat","mean_fcMedian","both_positive_fc","both_negative_fc","consistent_direction"
"ABI3BP",137.109201116799,0,0,1.22956331317775,168.18535973676,0,0,1.3369574091552,0,152.64728042678,1.28326036116648,TRUE,FALSE,TRUE
"ACTG1",1955.78151152127,0,0,1.4588513449259,1951.13182782536,0,0,1.37055326487625,0,1953.45666967331,1.41470230490107,TRUE,FALSE,TRUE
"ADM",243.89804404388,0,0,0.44032043689932,271.014663249729,0,0,0.409214109514006,0,257.456353646804,0.424767273206663,TRUE,FALSE,TRUE
"AKR1C1",84.8322937984124,0,0,0.934132846849469,122.329608873082,0,0,0.870679845648517,0,103.580951335747,0.902406346248993,TRUE,FALSE,TRUE
"AKR1C2",96.4359210324638,0,0,1.7532909435717,101.59204472104,0,0,1.91686759707997,0,99.0139828767518,1.83507927032584,TRUE,FALSE,TRUE
"ANGPTL2",705.588654156175,0,0,1.20928981351716,676.570557252032,0,0,1.18909317290402,0,691.079605704103,1.19919149321059,TRUE,FALSE,TRUE
"ANP32B",157.270291196261,0,0,0.882500323665999,160.752048591493,0,0,0.920431937677997,0,159.011169893877,0.901466130671998,TRUE,FALSE,TRUE
"ARL6IP1",152.336097855564,0,0,0.587586326656114,163.293291818692,0,0,1.06279580392713,0,157.814694837128,0.82519106529162,TRUE,FALSE,TRUE
"ATP6AP2",99.8343710951615,0,0,0.580091285572099,82.7563653883721,0,0,0.685479071594958,0,91.2953682417668,0.632785178583528,TRUE,FALSE,TRUE
"ATP6V1B2",300.966149398432,0,0,1.2880713473969,266.651263487981,0,0,1.26412532050019,0,283.808706443206,1.27609833394855,TRUE,FALSE,TRUE
"AURKA",103.571178481986,0,0,1.86907980893775,102.273823891284,0,0,1.41812684662163,0,102.922501186635,1.64360332777969,TRUE,FALSE,TRUE
"B2M",197.772379306105,0,0,0.459032620735655,217.025243871579,0,0,0.495114098932698,0,207.398811588842,0.477073359834177,TRUE,FALSE,TRUE
"BASP1",157.332462446653,0,0,0.726769706230743,309.798877327512,0,0,0.674381115039623,0,233.565669887083,0.700575410635183,TRUE,FALSE,TRUE
"BDKRB2",124.010156037219,0,0,1.22950277897848,130.125793234709,0,0,1.05433460918957,0,127.067974635964,1.14191869408402,TRUE,FALSE,TRUE
"BMP2",394.290948478038,0,0,3.1864487026443,367.147315346854,0,0,3.24672630151917,0,380.719131912446,3.21658750208173,TRUE,FALSE,TRUE
"C11orf96",251.392262124546,0,0,2.57602068252955,252.260362443768,0,0,1.56821918465113,0,251.826312284157,2.07211993359034,TRUE,FALSE,TRUE
"CA12",1004.30533357231,0,0,1.43508599867949,1050.6684000577,0,0,1.72581771461763,0,1027.486866815,1.58045185664856,TRUE,FALSE,TRUE
"CALD1",287.125755182849,0,0,1.24981798111975,266.899967183228,0,0,1.23749131625969,0,277.012861183039,1.24365464868972,TRUE,FALSE,TRUE
"CALM1",173.96024375222,0,0,0.720113801321552,212.357033545593,0,0,0.756027678374039,0,193.158638648907,0.738070739847796,TRUE,FALSE,TRUE
"CAMK2N1",274.228338617467,0,0,1.0715182582149,258.290603674652,0,0,1.00560946312917,0,266.25947114606,1.03856386067203,TRUE,FALSE,TRUE
"CANX",84.1921487289604,0,0,0.774206449331535,100.665707128817,0,0,0.846662699200515,0,92.4289279288888,0.810434574266025,TRUE,FALSE,TRUE
"CAV1",832.534503377706,0,0,1.05508488566949,866.133113430386,0,0,1.0997179784277,0,849.333808404046,1.07740143204859,TRUE,FALSE,TRUE
"CCNB1",102.950128082612,0,0,1.32266578040043,98.3439055445756,0,0,1.17122255542412,0,100.647016813594,1.24694416791227,TRUE,FALSE,TRUE
"CD276",332.807713416431,0,0,1.38382242271533,345.726549648208,0,0,1.29003428504425,0,339.267131532319,1.33692835387979,TRUE,FALSE,TRUE
"CD36",131.603223011303,0,0,2.7192394028892,94.6246467703401,0,0,2.05227475933865,0,113.113934890821,2.38575708111393,TRUE,FALSE,TRUE
"CDKN1A",354.816018050426,0,0,0.797976325672239,358.931420893988,0,0,0.785318975194997,0,356.873719472207,0.791647650433618,TRUE,FALSE,TRUE
"CEBPB",159.088505868977,0,0,0.75049655836615,112.190272059277,0,0,0.635066785462237,0,135.639388964127,0.692781671914194,TRUE,FALSE,TRUE
"CEMIP",132.140813258379,0,0,1.25269266959444,119.075618832402,0,0,1.15684339786709,0,125.60821604539,1.20476803373077,TRUE,FALSE,TRUE
"CENPF",108.065541873973,0,0,1.99753836769916,114.486293995536,0,0,1.98314914537997,0,111.275917934754,1.99034375653957,TRUE,FALSE,TRUE
"CKS2",268.757494853369,0,0,1.39030894275682,267.156839445634,0,0,1.25709673994401,0,267.957167149502,1.32370284135041,TRUE,FALSE,TRUE
"CLDN11",282.995424008252,0,0,1.03073177607919,252.784470478752,0,0,1.01193463759648,0,267.889947243502,1.02133320683784,TRUE,FALSE,TRUE
"COL15A1",130.897509907291,0,0,1.2650088062236,123.744696314175,0,0,1.01982100845392,0,127.321103110733,1.14241490733876,TRUE,FALSE,TRUE
"COL1A1",280.43574552374,0,0,0.747106685027076,277.832018208555,0,0,0.748427029957754,0,279.133881866148,0.747766857492415,TRUE,FALSE,TRUE
"COL1A2",333.194799229305,0,0,0.631488340565844,361.699320579088,0,0,0.629672693681162,0,347.447059904196,0.630580517123503,TRUE,FALSE,TRUE
